hgnc_symbol	ensembl_gene_id	gene_biotype
WBP2NL	ENSG00000183066	protein_coding
TMEM250	ENSG00000238227	protein_coding
TAF1D	ENSG00000166012	protein_coding
	ENSG00000234758	lncRNA
	ENSG00000230197	lncRNA
	ENSG00000250405	processed_pseudogene
ATRX	ENSG00000085224	protein_coding
	ENSG00000280449	TEC
SETX	ENSG00000107290	protein_coding
KRT18P45	ENSG00000249438	processed_pseudogene
	ENSG00000249878	processed_pseudogene
COPRS	ENSG00000172301	protein_coding
LINC01340	ENSG00000250331	lncRNA
LINC02161	ENSG00000250437	lncRNA
	ENSG00000272416	lncRNA
RNF138P1	ENSG00000250853	processed_pseudogene
MTND6P22	ENSG00000270230	processed_pseudogene
RIOK2	ENSG00000058729	protein_coding
EIF2B2	ENSG00000119718	protein_coding
PANK4	ENSG00000157881	protein_coding
SLC25A5P1	ENSG00000215347	transcribed_processed_pseudogene
NAGA	ENSG00000198951	protein_coding
RPL7AP65	ENSG00000228000	processed_pseudogene
MTND5P40	ENSG00000259593	processed_pseudogene
GPATCH8	ENSG00000186566	protein_coding
	ENSG00000272027	lncRNA
MNS1	ENSG00000138587	protein_coding
LINC01884	ENSG00000233587	lncRNA
	ENSG00000232518	lncRNA
	ENSG00000287313	lncRNA
LINC01318	ENSG00000237790	lncRNA
LINC00211	ENSG00000237803	lncRNA
	ENSG00000251574	lncRNA
	ENSG00000229160	lncRNA
ZFYVE9P2	ENSG00000214843	processed_pseudogene
	ENSG00000286519	lncRNA
	ENSG00000232604	lncRNA
RPL11P1	ENSG00000227394	processed_pseudogene
	ENSG00000274624	lncRNA
	ENSG00000225943	processed_pseudogene
	ENSG00000258646	lncRNA
KCNG3	ENSG00000171126	protein_coding
LINC02468	ENSG00000256499	lncRNA
	ENSG00000279594	TEC
NPM1P52	ENSG00000253663	processed_pseudogene
	ENSG00000286984	lncRNA
REXO1L9P	ENSG00000271381	processed_pseudogene
	ENSG00000251616	lncRNA
PTGES	ENSG00000148344	protein_coding
RPL30P10	ENSG00000243050	processed_pseudogene
TNFRSF11B	ENSG00000164761	protein_coding
MLH3	ENSG00000119684	protein_coding
GJA1P1	ENSG00000176857	processed_pseudogene
TAF11L14	ENSG00000250782	protein_coding
	ENSG00000229855	lncRNA
BCL2L14	ENSG00000121380	protein_coding
	ENSG00000227292	lncRNA
	ENSG00000226523	processed_pseudogene
GALK2	ENSG00000156958	protein_coding
RMDN2-AS1	ENSG00000235848	lncRNA
TSSK6	ENSG00000178093	protein_coding
	ENSG00000228707	lncRNA
	ENSG00000232355	unprocessed_pseudogene
TTF1	ENSG00000125482	protein_coding
CMTM8	ENSG00000170293	protein_coding
NDUFA13	ENSG00000186010	protein_coding
IRX1	ENSG00000170549	protein_coding
STRN	ENSG00000115808	protein_coding
CSTF1	ENSG00000101138	protein_coding
SRSF6P2	ENSG00000235554	processed_pseudogene
USP32P3	ENSG00000189423	transcribed_unprocessed_pseudogene
	ENSG00000233558	processed_pseudogene
RPS27AP11	ENSG00000218208	processed_pseudogene
	ENSG00000262566	processed_pseudogene
PRR16	ENSG00000184838	protein_coding
	ENSG00000272356	lncRNA
LINC02880	ENSG00000175967	lncRNA
CHCHD4	ENSG00000163528	protein_coding
	ENSG00000266088	lncRNA
	ENSG00000254006	lncRNA
	ENSG00000253355	lncRNA
GUSBP16	ENSG00000253366	unprocessed_pseudogene
AOC3	ENSG00000131471	protein_coding
	ENSG00000259968	lncRNA
	ENSG00000251367	lncRNA
TPT1P5	ENSG00000214108	processed_pseudogene
RPS26P6	ENSG00000212994	processed_pseudogene
ERRFI1-DT	ENSG00000238290	lncRNA
	ENSG00000225387	lncRNA
	ENSG00000253723	processed_pseudogene
	ENSG00000271882	lncRNA
LECT2	ENSG00000145826	protein_coding
	ENSG00000254302	lncRNA
	ENSG00000253195	unprocessed_pseudogene
HBS1L	ENSG00000112339	protein_coding
	ENSG00000254316	processed_pseudogene
	ENSG00000254000	lncRNA
SUMO2P18	ENSG00000253639	processed_pseudogene
	ENSG00000253395	lncRNA
	ENSG00000286878	lncRNA
	ENSG00000254303	lncRNA
	ENSG00000286659	lncRNA
PHETA2	ENSG00000177096	protein_coding
NASPP1	ENSG00000255397	processed_pseudogene
SDCBPP2	ENSG00000247570	processed_pseudogene
	ENSG00000286579	lncRNA
	ENSG00000260970	lncRNA
NCAN	ENSG00000130287	protein_coding
	ENSG00000253840	processed_pseudogene
LINC02247	ENSG00000223729	lncRNA
	ENSG00000253997	processed_pseudogene
BRD3OS	ENSG00000235106	protein_coding
	ENSG00000253800	processed_pseudogene
GRM7	ENSG00000196277	protein_coding
LINC02847	ENSG00000253702	lncRNA
SDR16C6P	ENSG00000253542	transcribed_unitary_pseudogene
SNORD13P1	ENSG00000238498	snoRNA
CCDC134	ENSG00000100147	protein_coding
	ENSG00000254337	lncRNA
	ENSG00000263433	processed_pseudogene
VPS13D	ENSG00000048707	protein_coding
SMCR8	ENSG00000176994	protein_coding
LINC01288	ENSG00000254344	lncRNA
	ENSG00000205644	processed_pseudogene
PICALM	ENSG00000073921	protein_coding
	ENSG00000249261	lncRNA
SNAI2	ENSG00000019549	protein_coding
	ENSG00000248955	processed_pseudogene
LINC02661	ENSG00000223381	lncRNA
NPAP1P4	ENSG00000236521	processed_pseudogene
LIX1-AS1	ENSG00000251513	lncRNA
HABP2	ENSG00000148702	protein_coding
RALGPS1	ENSG00000136828	protein_coding
	ENSG00000249150	lncRNA
FAM83G	ENSG00000188522	protein_coding
TICAM2-AS1	ENSG00000249249	lncRNA
CENPA	ENSG00000115163	protein_coding
	ENSG00000254031	lncRNA
RNU7-167P	ENSG00000238584	snRNA
HMGXB4	ENSG00000100281	protein_coding
	ENSG00000249791	lncRNA
RPS12P15	ENSG00000240724	processed_pseudogene
CDH6	ENSG00000113361	protein_coding
MTBP	ENSG00000172167	protein_coding
	ENSG00000283240	lncRNA
PCED1B	ENSG00000179715	protein_coding
RPL39P	ENSG00000228601	processed_pseudogene
RTF2	ENSG00000022277	protein_coding
SUGP1	ENSG00000105705	protein_coding
RPS27P18	ENSG00000233135	unprocessed_pseudogene
KCNK18	ENSG00000186795	protein_coding
	ENSG00000227076	lncRNA
	ENSG00000278484	lncRNA
NT5C3B	ENSG00000141698	protein_coding
NKX1-2	ENSG00000229544	protein_coding
LHPP	ENSG00000107902	protein_coding
	ENSG00000286829	lncRNA
B4GALNT3	ENSG00000139044	protein_coding
RNU6-689P	ENSG00000206924	snRNA
DBIL5P2	ENSG00000242412	transcribed_processed_pseudogene
ACYP1	ENSG00000119640	protein_coding
	ENSG00000233953	lncRNA
	ENSG00000286796	lncRNA
	ENSG00000288553	lncRNA
FBXL12P1	ENSG00000235968	processed_pseudogene
	ENSG00000232693	lncRNA
	ENSG00000244310	lncRNA
	ENSG00000232444	lncRNA
MEIS1-AS2	ENSG00000230749	lncRNA
HOMER1	ENSG00000152413	protein_coding
EFEMP1	ENSG00000115380	protein_coding
	ENSG00000253489	lncRNA
RPL31P41	ENSG00000239261	processed_pseudogene
	ENSG00000273978	unprocessed_pseudogene
	ENSG00000270682	processed_pseudogene
LINC01609	ENSG00000253103	lncRNA
ZC2HC1C	ENSG00000119703	protein_coding
	ENSG00000225208	lncRNA
DHX32	ENSG00000089876	protein_coding
	ENSG00000253499	processed_pseudogene
	ENSG00000253622	lncRNA
	ENSG00000253750	processed_pseudogene
RPSAP48	ENSG00000240590	processed_pseudogene
	ENSG00000253614	lncRNA
	ENSG00000278193	unprocessed_pseudogene
	ENSG00000253760	processed_pseudogene
	ENSG00000254201	lncRNA
	ENSG00000253842	lncRNA
MTERF3	ENSG00000156469	protein_coding
HIF1AP1	ENSG00000258978	processed_pseudogene
	ENSG00000259138	lncRNA
LINC01547	ENSG00000183250	lncRNA
TMED10	ENSG00000170348	protein_coding
LINC02386	ENSG00000257756	lncRNA
	ENSG00000273176	lncRNA
MIR3909	ENSG00000266320	miRNA
MIR6069	ENSG00000274280	miRNA
	ENSG00000282602	lncRNA
	ENSG00000282041	lncRNA
MCM5	ENSG00000100297	protein_coding
SLC38A4	ENSG00000139209	protein_coding
KRTAP26-1	ENSG00000197683	protein_coding
KRTAP27-1	ENSG00000206107	protein_coding
KRTAP13-6P	ENSG00000250973	unprocessed_pseudogene
KRTAP13-2	ENSG00000182816	protein_coding
MIR4327	ENSG00000265007	miRNA
KRTAP13-1	ENSG00000198390	protein_coding
COX6CP10	ENSG00000238008	processed_pseudogene
	ENSG00000283563	protein_coding
KRTAP13-5P	ENSG00000233640	unprocessed_pseudogene
KRTAP15-1	ENSG00000186970	protein_coding
RNU4ATAC14P	ENSG00000252013	snRNA
KRTAP19-1	ENSG00000184351	protein_coding
	ENSG00000287668	lncRNA
	ENSG00000280561	lncRNA
KRTAP19-2	ENSG00000186965	protein_coding
SERPINA4	ENSG00000100665	protein_coding
TEX36-AS1	ENSG00000237675	lncRNA
KRTAP19-3	ENSG00000244025	protein_coding
FGD5	ENSG00000154783	protein_coding
KRTAP19-4	ENSG00000186967	protein_coding
KRTAP19-5	ENSG00000186977	protein_coding
HTRA1	ENSG00000166033	protein_coding
KRTAP19-9P	ENSG00000237841	unprocessed_pseudogene
KRTAP19-10P	ENSG00000235312	unprocessed_pseudogene
	ENSG00000218125	unprocessed_pseudogene
KRTAP19-11P	ENSG00000236612	unprocessed_pseudogene
H3P23	ENSG00000250705	processed_pseudogene
KRTAP19-6	ENSG00000186925	protein_coding
	ENSG00000270779	processed_pseudogene
KRTAP19-7	ENSG00000244362	protein_coding
	ENSG00000259861	lncRNA
KRTAP22-2	ENSG00000206106	protein_coding
KRTAP6-3	ENSG00000212938	protein_coding
FSTL4	ENSG00000053108	protein_coding
KRTAP22-1	ENSG00000186924	protein_coding
KRTAP20-1	ENSG00000244624	protein_coding
KRTAP20-4	ENSG00000206105	protein_coding
KRTAP20-2	ENSG00000184032	protein_coding
KRTAP20-3	ENSG00000206104	protein_coding
KRTAP21-3	ENSG00000231068	protein_coding
KRTAP21-4P	ENSG00000236400	unprocessed_pseudogene
KRTAP21-2	ENSG00000187026	protein_coding
KRTAP21-1	ENSG00000187005	protein_coding
KRTAP23-1	ENSG00000186980	protein_coding
KRTAP13-3	ENSG00000240432	protein_coding
RNU6-426P	ENSG00000252273	snRNA
VDAC2P1	ENSG00000214976	processed_pseudogene
RPS26P5	ENSG00000224602	processed_pseudogene
SNORD74B	ENSG00000201025	snoRNA
	ENSG00000270139	lncRNA
	ENSG00000287066	lncRNA
CAMSAP1-DT	ENSG00000238058	lncRNA
	ENSG00000280432	TEC
MIR99A	ENSG00000207638	miRNA
MIRLET7C	ENSG00000199030	miRNA
	ENSG00000269950	lncRNA
MIR125B2	ENSG00000207863	miRNA
RNU1-98P	ENSG00000239023	snRNA
MVB12B	ENSG00000196814	protein_coding
TIAM1	ENSG00000156299	protein_coding
PPIAP85	ENSG00000254103	processed_pseudogene
DSCC1	ENSG00000136982	protein_coding
SERPINA5	ENSG00000188488	protein_coding
	ENSG00000288532	lncRNA
EGLN3P1	ENSG00000256134	processed_pseudogene
ETFBKMT	ENSG00000139160	protein_coding
FAM209A	ENSG00000124103	protein_coding
REXO1L2P	ENSG00000276998	processed_pseudogene
MRPL13	ENSG00000172172	protein_coding
	ENSG00000280387	TEC
FAM209B	ENSG00000213714	protein_coding
LINC02147	ENSG00000249797	lncRNA
	ENSG00000287079	lncRNA
CASS4	ENSG00000087589	protein_coding
EGFLAM-AS4	ENSG00000248730	lncRNA
	ENSG00000286543	lncRNA
	ENSG00000250669	processed_pseudogene
LSM6P2	ENSG00000257730	processed_pseudogene
LINC01455	ENSG00000250888	lncRNA
FCN2	ENSG00000160339	protein_coding
THBS4	ENSG00000113296	protein_coding
AMN1	ENSG00000151743	protein_coding
FSHR	ENSG00000170820	protein_coding
	ENSG00000254040	lncRNA
LINC01613	ENSG00000261432	lncRNA
CHRNA3	ENSG00000080644	protein_coding
SNX30-DT	ENSG00000226609	lncRNA
BORCS8-MEF2B	ENSG00000064489	protein_coding
NDUFAF5	ENSG00000101247	protein_coding
	ENSG00000253834	lncRNA
PAPPA	ENSG00000182752	protein_coding
	ENSG00000248318	lncRNA
	ENSG00000237061	lncRNA
	ENSG00000254129	lncRNA
RRAGB	ENSG00000083750	protein_coding
	ENSG00000272321	lncRNA
	ENSG00000288107	lncRNA
	ENSG00000253471	lncRNA
	ENSG00000250461	processed_pseudogene
	ENSG00000254247	processed_pseudogene
GUSBP14	ENSG00000253816	unprocessed_pseudogene
MTND1P5	ENSG00000253795	processed_pseudogene
MKI67	ENSG00000148773	protein_coding
HMOX1	ENSG00000100292	protein_coding
CCN3	ENSG00000136999	protein_coding
	ENSG00000273259	protein_coding
	ENSG00000288028	lncRNA
SERPINA3	ENSG00000196136	protein_coding
NNT	ENSG00000112992	protein_coding
	ENSG00000271349	processed_pseudogene
NRBF2P4	ENSG00000253228	processed_pseudogene
LINC01414	ENSG00000253554	lncRNA
TNPO1P3	ENSG00000229586	processed_pseudogene
GALNT12	ENSG00000119514	protein_coding
G6PC1	ENSG00000131482	protein_coding
SUMO2P20	ENSG00000253721	processed_pseudogene
VSIG1	ENSG00000101842	protein_coding
TMEM74	ENSG00000164841	protein_coding
FBXO32	ENSG00000156804	protein_coding
KIAA0930	ENSG00000100364	protein_coding
	ENSG00000259140	processed_pseudogene
RPS13P3	ENSG00000236913	processed_pseudogene
RPSAP4	ENSG00000239269	processed_pseudogene
	ENSG00000285205	lncRNA
EHD3	ENSG00000013016	protein_coding
RPL15P2	ENSG00000240914	processed_pseudogene
	ENSG00000214546	lncRNA
	ENSG00000274379	lncRNA
ADIPOR1P2	ENSG00000258805	processed_pseudogene
SERPINA13P	ENSG00000187483	transcribed_unprocessed_pseudogene
TSPAN7	ENSG00000156298	protein_coding
CNIH1	ENSG00000100528	protein_coding
STARD3	ENSG00000131748	protein_coding
RASAL3	ENSG00000105122	protein_coding
ZNFX1	ENSG00000124201	protein_coding
	ENSG00000279956	protein_coding
	ENSG00000287047	lncRNA
EIF4A1P3	ENSG00000231018	processed_pseudogene
PDZD8	ENSG00000165650	protein_coding
	ENSG00000285706	lncRNA
	ENSG00000287368	lncRNA
ACTG1P19	ENSG00000237999	processed_pseudogene
	ENSG00000225960	lncRNA
WDR5-DT	ENSG00000273249	lncRNA
MYO9A	ENSG00000066933	protein_coding
	ENSG00000273398	protein_coding
BAG1	ENSG00000107262	protein_coding
	ENSG00000255565	lncRNA
PAPOLG	ENSG00000115421	protein_coding
	ENSG00000256615	lncRNA
KLRA1P	ENSG00000256667	transcribed_unprocessed_pseudogene
DUX4L14	ENSG00000276904	unprocessed_pseudogene
FAM24A	ENSG00000203795	protein_coding
TEX36	ENSG00000175018	protein_coding
MRPL15	ENSG00000137547	protein_coding
HMGB3P12	ENSG00000237603	processed_pseudogene
LINC02674	ENSG00000234952	lncRNA
	ENSG00000228351	lncRNA
TCERG1L-AS1	ENSG00000230098	lncRNA
UBE2E2-DT	ENSG00000233153	lncRNA
	ENSG00000231104	lncRNA
CFP	ENSG00000126759	protein_coding
EEF1AKMT2	ENSG00000203791	protein_coding
PDCD6IP	ENSG00000170248	protein_coding
	ENSG00000257042	lncRNA
	ENSG00000258273	unprocessed_pseudogene
	ENSG00000244662	processed_pseudogene
	ENSG00000280171	unprocessed_pseudogene
	ENSG00000258753	lncRNA
	ENSG00000271418	processed_pseudogene
	ENSG00000257813	processed_pseudogene
GMFB	ENSG00000197045	protein_coding
	ENSG00000275286	lncRNA
	ENSG00000267693	processed_pseudogene
	ENSG00000276431	processed_pseudogene
	ENSG00000270718	processed_pseudogene
	ENSG00000258202	unprocessed_pseudogene
NANOGNB	ENSG00000205857	protein_coding
ZFAS1	ENSG00000177410	lncRNA
LINC02758	ENSG00000248990	lncRNA
ZNF85	ENSG00000105750	protein_coding
XIAPP2	ENSG00000254843	processed_pseudogene
SGSM1	ENSG00000167037	protein_coding
SH3BGR	ENSG00000185437	protein_coding
FCHSD2	ENSG00000137478	protein_coding
	ENSG00000256686	lncRNA
STRAP	ENSG00000023734	protein_coding
TM9SF3	ENSG00000077147	protein_coding
	ENSG00000226904	lncRNA
OLFML2A	ENSG00000185585	protein_coding
DDX3X	ENSG00000215301	protein_coding
SBF1P1	ENSG00000248522	processed_pseudogene
	ENSG00000253619	lncRNA
DEPTOR-AS1	ENSG00000245330	lncRNA
	ENSG00000253583	lncRNA
	ENSG00000253911	lncRNA
ZNF572	ENSG00000180938	protein_coding
RPL31P33	ENSG00000218049	processed_pseudogene
LIN28B	ENSG00000187772	protein_coding
ZNF66	ENSG00000160229	protein_coding
LYPLA1	ENSG00000120992	protein_coding
C19orf44	ENSG00000105072	protein_coding
KRT18P9	ENSG00000271231	processed_pseudogene
	ENSG00000279403	TEC
	ENSG00000287413	lncRNA
	ENSG00000275130	unprocessed_pseudogene
	ENSG00000287761	lncRNA
KRT18P24	ENSG00000226234	processed_pseudogene
FABP7	ENSG00000164434	protein_coding
SPATA31B1P	ENSG00000231649	unprocessed_pseudogene
RFC5P1	ENSG00000233526	processed_pseudogene
SKA2P1	ENSG00000232387	processed_pseudogene
CDC20P1	ENSG00000231007	processed_pseudogene
SAMD4A	ENSG00000020577	protein_coding
	ENSG00000226798	lncRNA
	ENSG00000235377	processed_pseudogene
CAVIN4	ENSG00000170681	protein_coding
	ENSG00000286536	lncRNA
	ENSG00000226181	lncRNA
LINC01509	ENSG00000226825	lncRNA
HINT3	ENSG00000111911	protein_coding
LINC02575	ENSG00000228709	lncRNA
GATD3	ENSG00000160221	protein_coding
YAP1P3	ENSG00000275953	processed_pseudogene
	ENSG00000236687	lncRNA
KRT18P50	ENSG00000219941	processed_pseudogene
EEF1A1P42	ENSG00000277043	processed_pseudogene
LINC02955	ENSG00000256995	lncRNA
	ENSG00000226089	lncRNA
IFNWP15	ENSG00000232281	unprocessed_pseudogene
	ENSG00000286474	lncRNA
	ENSG00000277830	misc_RNA
	ENSG00000287097	lncRNA
SEPTIN7P7	ENSG00000229897	processed_pseudogene
SNORD12C	ENSG00000209042	snoRNA
CALHM6-AS1	ENSG00000244158	lncRNA
IL9RP1	ENSG00000229926	unprocessed_pseudogene
	ENSG00000274760	misc_RNA
SNORD12B	ENSG00000222365	snoRNA
MTND2P8	ENSG00000237257	unprocessed_pseudogene
	ENSG00000277967	misc_RNA
	ENSG00000276388	unprocessed_pseudogene
SNORD12	ENSG00000212304	snoRNA
	ENSG00000271218	lncRNA
PARD6B	ENSG00000124171	protein_coding
RRAGD	ENSG00000025039	protein_coding
CHMP5	ENSG00000086065	protein_coding
CRB3P1	ENSG00000232563	processed_pseudogene
NBPF21P	ENSG00000231382	unprocessed_pseudogene
LINC01797	ENSG00000237179	lncRNA
PGAM1P6	ENSG00000224464	processed_pseudogene
	ENSG00000273275	lncRNA
PRKCE-AS1	ENSG00000228481	lncRNA
TMSB4XP6	ENSG00000230043	processed_pseudogene
PSMD10P1	ENSG00000228663	processed_pseudogene
ADNP-AS1	ENSG00000259456	lncRNA
LINC01824	ENSG00000226488	lncRNA
HLA-J	ENSG00000204622	transcribed_unprocessed_pseudogene
	ENSG00000232958	unprocessed_pseudogene
MOCS3	ENSG00000124217	protein_coding
	ENSG00000287059	lncRNA
	ENSG00000230355	processed_pseudogene
RPL12P12	ENSG00000236992	processed_pseudogene
	ENSG00000232668	processed_pseudogene
CCDC184	ENSG00000177875	protein_coding
ZNF502	ENSG00000196653	protein_coding
NAA20	ENSG00000173418	protein_coding
	ENSG00000231815	lncRNA
	ENSG00000271443	transcribed_processed_pseudogene
	ENSG00000269976	lncRNA
RPL7P12	ENSG00000227770	processed_pseudogene
IFITM3P6	ENSG00000258352	transcribed_processed_pseudogene
LINC01883	ENSG00000235009	lncRNA
ENDOU	ENSG00000111405	protein_coding
	ENSG00000279929	TEC
NDUFAB1P1	ENSG00000217767	processed_pseudogene
	ENSG00000236643	lncRNA
	ENSG00000280277	TEC
OR4F8BP	ENSG00000286255	unprocessed_pseudogene
GABBR2	ENSG00000136928	protein_coding
	ENSG00000269085	lncRNA
	ENSG00000268560	lncRNA
VN1R80P	ENSG00000268598	unprocessed_pseudogene
CYP4F22	ENSG00000171954	protein_coding
CRNKL1	ENSG00000101343	protein_coding
HADHB	ENSG00000138029	protein_coding
	ENSG00000282787	lncRNA
	ENSG00000285955	lncRNA
	ENSG00000225424	lncRNA
EPB41L2	ENSG00000079819	protein_coding
TMEM42	ENSG00000169964	protein_coding
ZDHHC16	ENSG00000171307	protein_coding
	ENSG00000232167	processed_pseudogene
	ENSG00000256640	processed_pseudogene
RPL7AP74	ENSG00000255991	processed_pseudogene
LINC01267	ENSG00000251576	lncRNA
HTR6	ENSG00000158748	protein_coding
LINC00477	ENSG00000197503	lncRNA
H3-5	ENSG00000188375	protein_coding
SINHCAF	ENSG00000139146	protein_coding
SUMF1	ENSG00000144455	protein_coding
GUCD1	ENSG00000138867	protein_coding
	ENSG00000240418	processed_pseudogene
RPL10P17	ENSG00000225196	processed_pseudogene
RBP7	ENSG00000162444	protein_coding
RNU6ATAC9P	ENSG00000252019	snRNA
MIR4308	ENSG00000265432	miRNA
FDPSP3	ENSG00000258872	transcribed_processed_pseudogene
YJEFN3	ENSG00000250067	protein_coding
	ENSG00000279625	TEC
WDHD1	ENSG00000198554	protein_coding
GPR157	ENSG00000180758	protein_coding
	ENSG00000255995	processed_pseudogene
ZBTB40	ENSG00000184677	protein_coding
	ENSG00000280010	TEC
F2	ENSG00000180210	protein_coding
	ENSG00000255836	processed_pseudogene
INTS13	ENSG00000064102	protein_coding
	ENSG00000289546	lncRNA
KRTAP13-4	ENSG00000186971	protein_coding
KRTAP6-2	ENSG00000186930	protein_coding
KRTAP6-1	ENSG00000184724	protein_coding
	ENSG00000278955	artifact
	ENSG00000280172	artifact
	ENSG00000279226	artifact
	ENSG00000274276	artifact
CAPN3	ENSG00000092529	protein_coding
	ENSG00000260907	lncRNA
KRT16P3	ENSG00000214822	transcribed_unprocessed_pseudogene
	ENSG00000279438	TEC
AMOTL1	ENSG00000166025	protein_coding
MEOX1	ENSG00000005102	protein_coding
ENO1-AS1	ENSG00000230679	lncRNA
MICOS10-NBL1	ENSG00000270136	protein_coding
DDX10P2	ENSG00000230360	processed_pseudogene
HOMER3-AS1	ENSG00000269019	lncRNA
RPS19P6	ENSG00000234637	processed_pseudogene
NFYCP2	ENSG00000224887	processed_pseudogene
	ENSG00000273473	lncRNA
RNA5SP279	ENSG00000202383	rRNA_pseudogene
	ENSG00000269274	unprocessed_pseudogene
MIR4665	ENSG00000263575	miRNA
RNU6-1073P	ENSG00000252991	snRNA
MIR101-2	ENSG00000199065	miRNA
RNU2-47P	ENSG00000222581	snRNA
RN7SL98P	ENSG00000240613	misc_RNA
RNU6-246P	ENSG00000207433	snRNA
RN7SL123P	ENSG00000266863	misc_RNA
	ENSG00000275540	unprocessed_pseudogene
SCARNA8	ENSG00000251733	scaRNA
RNU6-264P	ENSG00000252943	snRNA
MTDHP2	ENSG00000269615	processed_pseudogene
	ENSG00000201118	misc_RNA
RNU6-319P	ENSG00000251834	snRNA
BNIP3P19	ENSG00000271638	processed_pseudogene
RN7SL720P	ENSG00000241152	misc_RNA
RNU6-14P	ENSG00000207360	snRNA
RN7SKP120	ENSG00000222693	misc_RNA
RN7SL25P	ENSG00000264530	misc_RNA
RN7SL849P	ENSG00000243115	misc_RNA
RMRPP5	ENSG00000223088	ribozyme
	ENSG00000266448	processed_pseudogene
	ENSG00000272113	misc_RNA
RNU4ATAC15P	ENSG00000252224	snRNA
MIR4475	ENSG00000266255	miRNA
MIR4540	ENSG00000264922	miRNA
MIR4476	ENSG00000265368	miRNA
	ENSG00000200544	misc_RNA
USHBP1	ENSG00000130307	protein_coding
SPRYD3	ENSG00000167778	protein_coding
	ENSG00000200502	misc_RNA
DHX8	ENSG00000067596	protein_coding
	ENSG00000206784	misc_RNA
RNU6-677P	ENSG00000252723	snRNA
RNA5SP530	ENSG00000277049	rRNA
	ENSG00000276094	snoRNA
	ENSG00000278028	misc_RNA
CNN2P6	ENSG00000213854	processed_pseudogene
RN7SL565P	ENSG00000276562	misc_RNA
MIR4477A	ENSG00000276029	miRNA
RN7SL343P	ENSG00000273717	misc_RNA
ZNF501	ENSG00000186446	protein_coding
RNA5SP283	ENSG00000202474	rRNA_pseudogene
RN7SL462P	ENSG00000276522	misc_RNA
MTND4LP18	ENSG00000254747	processed_pseudogene
	ENSG00000238933	misc_RNA
RNU6-1293P	ENSG00000206804	snRNA
	ENSG00000255391	processed_pseudogene
RNU2-5P	ENSG00000222465	snRNA
	ENSG00000288398	lncRNA
RN7SL570P	ENSG00000241174	misc_RNA
	ENSG00000224621	lncRNA
RNA5SP285	ENSG00000252428	rRNA_pseudogene
OR7E13P	ENSG00000197882	unprocessed_pseudogene
	ENSG00000200922	misc_RNA
	ENSG00000285833	lncRNA
RNA5SP286	ENSG00000212454	rRNA_pseudogene
RN7SKP47	ENSG00000202217	misc_RNA
	ENSG00000278980	TEC
RNU6-445P	ENSG00000252758	snRNA
	ENSG00000255928	lncRNA
	ENSG00000200041	misc_RNA
RN7SL422P	ENSG00000274852	misc_RNA
RN7SKP59	ENSG00000222452	misc_RNA
	ENSG00000256148	processed_pseudogene
RNU6-1303P	ENSG00000201711	snRNA
	ENSG00000278040	misc_RNA
	ENSG00000278929	TEC
	ENSG00000274326	misc_RNA
	ENSG00000277320	misc_RNA
	ENSG00000260808	lncRNA
RN7SKP242	ENSG00000251776	misc_RNA
RNU4-15P	ENSG00000199483	snRNA
	ENSG00000212421	snoRNA
	ENSG00000255540	processed_pseudogene
RNU2-36P	ENSG00000222293	snRNA
RNU4-29P	ENSG00000251752	snRNA
NPHP4	ENSG00000131697	protein_coding
H3P34	ENSG00000255295	processed_pseudogene
RN7SKP264	ENSG00000223012	misc_RNA
RNU6-1228P	ENSG00000212316	snRNA
MIR4290	ENSG00000263967	miRNA
MIR3910-1	ENSG00000266855	miRNA
TRIM77	ENSG00000214414	protein_coding
MIR3910-2	ENSG00000283351	miRNA
MIR4291	ENSG00000265347	miRNA
MIR4289	ENSG00000265873	miRNA
RNU6-1160P	ENSG00000207276	snRNA
	ENSG00000201830	misc_RNA
RN7SKP87	ENSG00000200966	misc_RNA
	ENSG00000276076	artifact
RNU6-996P	ENSG00000202308	snRNA
RNU6-329P	ENSG00000238882	snRNA
RNU6-492P	ENSG00000199905	snRNA
RNA5SP291	ENSG00000253031	rRNA_pseudogene
RN7SL659P	ENSG00000244104	misc_RNA
RNU6-1064P	ENSG00000222558	snRNA
MIR7702	ENSG00000274263	miRNA
RNU6-855P	ENSG00000222327	snRNA
	ENSG00000200261	misc_RNA
RNA5SP293	ENSG00000222459	rRNA_pseudogene
	ENSG00000275895	artifact
MIR3927	ENSG00000263861	miRNA
RNU6-432P	ENSG00000206923	snRNA
RNY4P18	ENSG00000212409	misc_RNA
	ENSG00000207401	misc_RNA
	ENSG00000279603	TEC
	ENSG00000274755	snRNA
RNA5SP294	ENSG00000223238	rRNA_pseudogene
OR7E2P	ENSG00000255203	unprocessed_pseudogene
	ENSG00000207329	misc_RNA
RN7SL57P	ENSG00000242256	misc_RNA
RNA5SP295	ENSG00000199525	rRNA_pseudogene
	ENSG00000268635	lncRNA
RN7SL430P	ENSG00000243911	misc_RNA
RBMS3	ENSG00000144642	protein_coding
MIR147A	ENSG00000207814	miRNA
RNU6-710P	ENSG00000222356	snRNA
RNU4-82P	ENSG00000199313	snRNA
RN7SL302P	ENSG00000241246	misc_RNA
RNU6-1039P	ENSG00000206658	snRNA
MIR455	ENSG00000207726	miRNA
MIR181A2	ENSG00000207595	miRNA
MIR181B2	ENSG00000207737	miRNA
CEP295	ENSG00000166004	protein_coding
